City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,vorgashor,67.5833,63.95,1.9,94,100,2.39,RU,1697564960
126,howard springs,-12.497,131.047,26.95,68,60,0.66,AU,1697565241
127,iskateley,67.6803,53.1512,1.12,89,96,4.02,RU,1697565242
128,arzamas,55.3949,43.8399,2.06,87,100,7.45,RU,1697565242
129,saipan,15.1355,145.701,27.39,83,75,4.63,MP,1697565242
130,talagang,32.9297,72.4158,17.81,66,4,2.27,PK,1697565243
131,ca mau,9.1769,105.15,24.21,92,100,2.27,VN,1697565243
132,olonkinbyen,70.9221,-8.7187,-0.07,85,99,3.33,SJ,1697565243
133,inari,68.906,27.0288,-1.89,97,94,1.39,FI,1697565243
134,tual,-5.6667,132.75,26.68,83,85,6.42,ID,1697565244
135,kimbe,-5.5502,150.1429,24.42,92,93,1.27,PG,1697565244
136,rio branco,-9.9747,-67.81,34.34,49,40,3.6,BR,1697565244
137,qarauyl,48.9451,79.255,5.45,55,8,3.01,KZ,1697565244
138,baturaja,-4.1333,104.1667,22.81,74,97,1.26,ID,1697565244
139,loukhi,66.0764,33.0381,0.17,84,16,3.34,RU,1697565245
140,lincoln,40.8,-96.667,21.21,41,0,4.63,US,1697565245
141,shalqar,47.8333,59.6,11.75,41,27,2.88,KZ,1697565245
142,lorengau,-2.0226,147.2712,26.9,78,55,1.13,PG,1697565245
143,boende,-0.2167,20.8667,26.31,69,95,0.79,CD,1697565246
144,montepuez,-13.1256,38.9997,24.6,58,99,4.66,MZ,1697565246
145,nieuw amsterdam,5.8833,-55.0833,35.01,49,40,3.09,SR,1697565246
146,nueva gerona,21.8833,-82.8,26.55,57,76,5.61,CU,1697565246
147,kijang,35.2442,129.2139,10.85,45,0,1.64,KR,1697565247
148,boa vista,2.8197,-60.6733,32.99,46,75,2.06,BR,1697565247
149,solnechnyy,50.7214,136.6319,1.13,95,26,2.29,RU,1697564956
150,taulaga,-11.0553,-171.0883,27.78,76,54,6.99,AS,1697565247
151,north mankato,44.1733,-94.0339,17.86,67,0,1.54,US,1697565247
152,klaksvik,62.2266,-6.589,7.51,81,100,7.25,FO,1697565248
153,ingeniero jacobacci,-41.3427,-69.5448,18.63,14,1,3.3,AR,1697565248
154,medicine hat,50.0501,-110.6683,12.55,77,100,9.77,CA,1697565171
155,vilyuchinsk,52.9306,158.4028,7.18,83,81,1.11,RU,1697565225
156,pingxiang,27.6167,113.85,17.83,67,0,1.67,CN,1697565249
157,tazacorte,28.629,-17.9293,25.64,72,40,2.68,ES,1697565248
158,olyokminsk,60.3736,120.4264,1.11,67,97,3.58,RU,1697565249
159,puerto ayacucho,5.6639,-67.6236,32.32,57,53,2.33,VE,1697565249
